run_id,run_dir,experiment,geometry,mechanism,model,n,d,schedule,severity,mover_frac,noise,seed,regime,metric_family,metric,direction,threshold,window,max_epoch,detection_epoch,normalized_detection_time,detected
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,1000,50,linear,moderate,1.0,0.0,31,Projection,Topological,max_persistence_h1,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,1000,50,linear,moderate,1.0,0.0,31,Projection,Topological,top5_persistence_h1,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed31,1000,50,linear,moderate,1.0,0.0,31,Projection,Topological,total_persistence_h1,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,1000,50,linear,moderate,1.0,0.0,37,Projection,Spectral,effective_rank,decrease,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,1000,50,linear,moderate,1.0,0.0,37,Projection,Spectral,top_k_variance_fraction,increase,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,1000,50,linear,moderate,1.0,0.0,37,Projection,Geometric,mean_pairwise_distance,decrease,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,1000,50,linear,moderate,1.0,0.0,37,Projection,Geometric,median_pairwise_distance,decrease,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,1000,50,linear,moderate,1.0,0.0,37,Projection,Geometric,q10_pairwise_distance,decrease,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,1000,50,linear,moderate,1.0,0.0,37,Projection,Geometric,q50_pairwise_distance,decrease,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,1000,50,linear,moderate,1.0,0.0,37,Projection,Geometric,q90_pairwise_distance,decrease,0.05,2,50.0,6.0,0.12,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,1000,50,linear,moderate,1.0,0.0,37,Projection,Geometric,std_pairwise_distance,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,1000,50,linear,moderate,1.0,0.0,37,Projection,Topological,betti_curve_area_h1,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,1000,50,linear,moderate,1.0,0.0,37,Projection,Topological,betti_curve_change_h1,increase,0.05,2,50.0,2.0,0.04,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,1000,50,linear,moderate,1.0,0.0,37,Projection,Topological,betti_curve_peak_h1,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,1000,50,linear,moderate,1.0,0.0,37,Projection,Topological,max_persistence_h1,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,1000,50,linear,moderate,1.0,0.0,37,Projection,Topological,top5_persistence_h1,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed37,1000,50,linear,moderate,1.0,0.0,37,Projection,Topological,total_persistence_h1,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,1000,50,linear,moderate,1.0,0.0,51,Projection,Spectral,effective_rank,decrease,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,1000,50,linear,moderate,1.0,0.0,51,Projection,Spectral,top_k_variance_fraction,increase,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,1000,50,linear,moderate,1.0,0.0,51,Projection,Geometric,mean_pairwise_distance,decrease,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,1000,50,linear,moderate,1.0,0.0,51,Projection,Geometric,median_pairwise_distance,decrease,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,1000,50,linear,moderate,1.0,0.0,51,Projection,Geometric,q10_pairwise_distance,decrease,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,1000,50,linear,moderate,1.0,0.0,51,Projection,Geometric,q50_pairwise_distance,decrease,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,1000,50,linear,moderate,1.0,0.0,51,Projection,Geometric,q90_pairwise_distance,decrease,0.05,2,50.0,6.0,0.12,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,1000,50,linear,moderate,1.0,0.0,51,Projection,Geometric,std_pairwise_distance,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,1000,50,linear,moderate,1.0,0.0,51,Projection,Topological,betti_curve_area_h1,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,1000,50,linear,moderate,1.0,0.0,51,Projection,Topological,betti_curve_change_h1,increase,0.05,2,50.0,2.0,0.04,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,1000,50,linear,moderate,1.0,0.0,51,Projection,Topological,betti_curve_peak_h1,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,1000,50,linear,moderate,1.0,0.0,51,Projection,Topological,max_persistence_h1,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,1000,50,linear,moderate,1.0,0.0,51,Projection,Topological,top5_persistence_h1,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed51,1000,50,linear,moderate,1.0,0.0,51,Projection,Topological,total_persistence_h1,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,1000,50,linear,moderate,1.0,0.0,123,Projection,Spectral,effective_rank,decrease,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,1000,50,linear,moderate,1.0,0.0,123,Projection,Spectral,top_k_variance_fraction,increase,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,1000,50,linear,moderate,1.0,0.0,123,Projection,Geometric,mean_pairwise_distance,decrease,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,1000,50,linear,moderate,1.0,0.0,123,Projection,Geometric,median_pairwise_distance,decrease,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,1000,50,linear,moderate,1.0,0.0,123,Projection,Geometric,q10_pairwise_distance,decrease,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,1000,50,linear,moderate,1.0,0.0,123,Projection,Geometric,q50_pairwise_distance,decrease,0.05,2,50.0,4.0,0.08,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,1000,50,linear,moderate,1.0,0.0,123,Projection,Geometric,q90_pairwise_distance,decrease,0.05,2,50.0,6.0,0.12,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,1000,50,linear,moderate,1.0,0.0,123,Projection,Geometric,std_pairwise_distance,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,1000,50,linear,moderate,1.0,0.0,123,Projection,Topological,betti_curve_area_h1,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,1000,50,linear,moderate,1.0,0.0,123,Projection,Topological,betti_curve_change_h1,increase,0.05,2,50.0,2.0,0.04,True
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,1000,50,linear,moderate,1.0,0.0,123,Projection,Topological,betti_curve_peak_h1,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,1000,50,linear,moderate,1.0,0.0,123,Projection,Topological,max_persistence_h1,decrease,0.05,2,50.0,,,False
spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,/home/alex/evolve_local/evolve_collapse/evolve_checkpoints/collapse_ph/linear_to_kplane/spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,collapse_ph,spiked_gaussian,linear_to_kplane,spiked_gaussian_n1000_d50_k16__linear__moderate__mp1.0__noise0.0__seed123,1000,50,linear,moderate,1.0,0.0,123,Projection,Topological,top5_persistence_h1,decrease,0.05,2,50.0,,,False
